"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","Crete_seaway","Crete_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","RavennaM_seaway","RavennaM_geodesic"
52.991,4.727,2020,12,"Netherlands","HUMAN_OBSERVATION",52.95,4.65000000000001,5405.38380565215,2533.51988405459,5636.99762659897,1049.43251316157,5604.10792728005,1100.70981121758
37.010922,-7.93415,2019,3,"Portugal","HUMAN_OBSERVATION",36.95,-7.94999999999999,3088.74305684201,2968.09162207141,3320.35687778883,2030.51179224856,3287.46717846991,1900.11441394387
43.42472,3.7,2019,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2019,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
37.010922,-7.93415,2019,3,"Portugal","HUMAN_OBSERVATION",36.95,-7.94999999999999,3088.74305684201,2968.09162207141,3320.35687778883,2030.51179224856,3287.46717846991,1900.11441394387
37.02345,-7.837512,2019,4,"Portugal","HUMAN_OBSERVATION",36.95,-7.84999999999999,3079.83606512429,2959.24344204592,3311.44988607111,2023.18986208886,3278.56018675219,1892.59020398235
36.990708,-7.967555,2019,4,"Portugal","HUMAN_OBSERVATION",NA,NA,3088.74305684201,2969.12747907083,3320.35687778883,2029.23211419182,3287.46717846991,1899.0256178956
43.42472,3.7,2019,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
42.47805,3.16149,2019,5,"France","HUMAN_OBSERVATION",42.45,3.25,2127.72407637521,2048.53233152796,2318.25646901668,894.362942093267,2285.36676969776,768.887338810551
43.42472,3.7,2019,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
