"x","year","month","country"
Inf,2021,8,"Netherlands"
Inf,2019,3,"Netherlands"
454569.058939973,2019,3,"Netherlands"
Inf,2018,1,"Netherlands"
Inf,2017,1,"Netherlands"
680167.149257234,2017,3,"Netherlands"
653426.938804523,2009,10,"Netherlands"
Inf,NA,NA,"Ireland"
