"x","year","month","country"
1341016.59239843,2013,5,"Spain"
585700.49429355,2018,NA,"France"
585700.49429355,2018,NA,"France"
2499730.55630121,NA,NA,"Greece"
2499730.55630121,NA,NA,"Greece"
2499730.55630121,NA,NA,"Greece"
