"x","year","month","country"
1486784.91101228,2013,5,"Spain"
613729.382307954,2018,NA,"France"
613729.382307954,2018,NA,"France"
5351496.74410671,NA,NA,"Greece"
5351496.74410671,NA,NA,"Greece"
5351496.74410671,NA,NA,"Greece"
