"x","year","month","country"
4899422.84557644,2024,9,"France"
2290718.91483728,2022,1,"France"
2316593.56723858,2022,3,"France"
2290718.91483728,2022,8,"France"
5925865.66021294,2021,8,"Netherlands"
2290718.91483728,2015,5,"France"
2290718.91483728,2014,1,"France"
4880350.81487947,2007,5,"France"
1563870.12628806,NA,NA,"Greece"
3602988.27157171,NA,NA,"Portugal"
