"x","year","month","country"
3882048.09474739,2013,5,"Spain"
4739087.84802435,2018,NA,"France"
4739087.84802435,2018,NA,"France"
0,NA,NA,"Greece"
0,NA,NA,"Greece"
0,NA,NA,"Greece"
