"Longitude","Latitude","Year","Month","Country"
22.820038,37.544711,2025,4,"Greece"
3.89671,43.50449,2018,8,"France"
25.136605,35.343153,NA,NA,"Greece"
9.055167,56.90155,NA,NA,"Denmark"
