"Longitude","Latitude","Year","Month","Country"
3.7,43.42472,2018,6,"France"
3.7,43.42472,2018,6,"France"
3.7,43.42472,2018,7,"France"
3.16021,42.4611,2018,7,"France"
-1.43762,43.65601,2018,7,"France"
3.7,43.42472,2018,7,"France"
-1.22856,44.69716,2018,7,"France"
3.7,43.42472,2018,8,"France"
3.7,43.42472,2018,8,"France"
3.7,43.42472,2018,8,"France"
3.51475,43.27058,2018,8,"France"
3.7,43.42472,2018,9,"France"
3.7,43.42472,2018,9,"France"
3.7,43.42472,2018,9,"France"
3.7,43.42472,2018,9,"France"
-1.43762,43.65601,2018,9,"France"
3.7,43.42472,2018,9,"France"
3.7,43.42472,2018,9,"France"
3.7,43.42472,2018,9,"France"
3.7,43.42472,2018,10,"France"
3.7,43.42472,2018,10,"France"
3.7,43.42472,2018,10,"France"
3.7,43.42472,2018,10,"France"
3.7,43.42472,2018,10,"France"
3.215654,39.740706,2018,11,"Spain"
3.7,43.42472,2018,11,"France"
3.7,43.42472,2018,11,"France"
3.7,43.42472,2018,11,"France"
0.11775,49.48892,2017,1,"France"
3.7,43.42472,2017,5,"France"
3.7,43.42472,2017,5,"France"
3.7,43.42472,2017,5,"France"
3.7,43.42472,2017,5,"France"
3.49883,43.24932,2017,6,"France"
3.7,43.42472,2017,6,"France"
3.7,43.42472,2017,7,"France"
-6.43452,36.742475,2017,9,"Spain"
-6.43452,36.742475,2017,9,"Spain"
3.7,43.42472,2017,10,"France"
3.7,43.42472,2017,11,"France"
-8.654172,40.647599,2016,6,"Portugal"
3.699389,43.424687,2016,6,"France"
-8.654172,40.647599,2016,6,"Portugal"
-7.868271,43.698059,2016,10,"Spain"
0.707101,40.812344,2015,1,"Spain"
0.707101,40.812344,2015,1,"Spain"
-3.441925,40.302455,2015,2,"Spain"
3.66769,43.43958,2015,5,"France"
-1.67374,49.68508,2015,10,"France"
0.330601,50.794717,2014,8,"United Kingdom of Great Britain and Northern Ireland"
-3.43042,47.70109,2014,8,"France"
0.56231,51.39605,2014,8,"United Kingdom of Great Britain and Northern Ireland"
8.75475,41.85043,2014,8,"France"
